id,edl1,edl2,edl3,edl4,edl5,edl6,edl7,edl8
170,4.800000000000001,0.0,153.20000000000002,4.800000000000001,4.800000000000001,0.0,186.3,0.8
171,0.0,0.0,259.09999999999997,0.0,0.0,0.0,135.0,0.0
172,52.1,0.0,178.9,0.0,24.2,0.0,57.49999999999999,0.0
173,24.900000000000002,0.0,70.1,0.0,49.1,0.0,143.5,0.0
174,0.0,0.0,142.9,0.0,0.0,0.0,221.79999999999998,0.0
175,0.0,0.0,188.29999999999998,0.0,0.0,0.0,104.2,0.0
176,2.7,0.0,40.1,0.0,45.699999999999996,0.0,241.0,0.0
177,0.0,0.0,132.29999999999998,0.0,0.0,0.0,240.9,0.0
178,0.0,0.0,129.79999999999998,0.0,0.0,0.0,211.20000000000002,0.0
179,5.2,0.0,46.4,0.0,29.599999999999998,0.0,189.4,0.0
180,58.2,0.0,250.99999999999997,5.4,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0,71.6,0.0,178.39999999999998,0.0
182,0.0,0.0,136.79999999999998,0.0,0.0,0.0,199.79999999999998,0.0
183,0.0,0.0,244.4,0.0,0.0,0.0,83.9,0.0
184,44.1,0.0,270.3,0.0,0.0,0.0,7.1000000000000005,0.0
185,14.0,0.0,128.7,0.0,10.3,0.0,105.0,0.0
186,0.0,0.0,354.90000000000003,0.0,0.0,0.0,0.0,0.0
187,5.4,0.0,36.400000000000006,0.0,57.2,0.0,189.79999999999998,0.0
188,33.1,0.0,134.1,0.0,42.2,0.0,186.49999999999997,2.7
189,15.600000000000001,0.0,172.2,0.0,10.100000000000001,0.0,170.0,0.0
190,27.7,0.0,109.9,0.0,48.99999999999999,0.0,149.50000000000003,0.0
191,2.6,0.0,53.6,0.0,44.800000000000004,0.0,224.20000000000002,0.0
192,11.0,0.0,129.9,0.0,38.2,0.0,311.1,0.0
193,0.9,0.0,52.599999999999994,0.0,9.8,0.0,203.0,0.0
194,0.0,0.0,0.0,0.0,36.2,0.0,286.3,21.9
195,3.6,0.0,127.8,0.0,5.3,0.0,150.4,0.0
196,163.5,13.4,204.6,18.4,7.799999999999999,0.0,47.800000000000004,0.0
197,0.0,0.0,188.29999999999998,0.0,0.0,0.0,104.2,0.0
198,39.6,0.0,67.5,0.0,138.79999999999998,0.0,271.5,0.0
199,0.0,0.0,322.0,0.0,0.0,0.0,26.0,0.0
200,0.0,0.0,0.0,0.0,6.4,0.0,273.49999999999994,7.300000000000001
201,17.599999999999998,0.0,245.29999999999995,0.0,0.0,0.0,6.6,0.0
202,4.4,0.0,82.80000000000001,0.0,34.7,0.0,218.3,0.0
203,139.49999999999997,0.0,236.8,0.0,10.499999999999998,0.0,38.099999999999994,0.0
204,4.4,0.0,79.10000000000001,1.6,18.7,0.0,221.4,10.8
205,61.6,0.0,27.6,0.0,206.4,0.0,142.10000000000002,0.0
206,4.2,0.0,47.3,0.0,23.4,0.0,145.4,0.0
207,0.0,0.0,102.99999999999999,0.0,0.0,0.0,178.60000000000002,0.0
208,0.0,0.0,38.5,0.0,8.1,0.0,244.70000000000002,0.0
209,9.1,0.0,86.6,0.0,34.9,0.0,165.39999999999998,0.0
210,0.0,0.0,57.9,0.0,0.0,0.0,297.5,0.0
211,0.9,0.0,5.3,0.0,108.1,0.0,182.99999999999997,0.0
212,19.900000000000002,0.0,277.9,0.0,0.0,0.0,73.0,0.0
213,0.0,0.0,30.6,0.0,29.4,0.0,229.6,0.0
214,21.1,0.0,101.5,0.0,78.89999999999999,0.0,230.09999999999997,0.0
215,0.0,0.0,51.4,0.0,7.5,0.0,349.29999999999995,0.0
216,40.599999999999994,0.0,95.60000000000001,0.0,72.8,0.0,95.69999999999999,0.0
217,2.0,0.0,27.900000000000002,0.0,48.4,0.0,243.7,0.0
218,0.0,0.0,138.8,0.0,0.0,0.0,77.5,0.0
219,0.0,0.0,138.8,0.0,0.0,0.0,77.5,0.0
220,60.800000000000004,0.0,213.29999999999998,0.0,0.0,0.0,3.3000000000000003,0.0
221,0.0,0.0,402.79999999999995,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0,330.90000000000003,0.0
223,20.5,0.0,335.6,5.500000000000001,0.0,0.0,0.0,0.0
224,0.0,0.0,125.3,0.0,0.0,0.0,207.89999999999998,0.0
225,14.2,0.0,47.6,0.0,76.4,0.0,229.29999999999998,0.0
226,56.1,0.0,105.9,0.0,81.69999999999999,0.0,137.79999999999998,0.0
227,14.5,0.0,25.9,0.0,108.3,7.0,205.89999999999998,16.0
228,3.1999999999999997,0.0,21.0,0.0,63.8,0.0,174.7,0.0
229,0.0,0.0,2.7,0.0,59.7,0.0,179.89999999999998,0.0
230,0.0,0.0,0.0,0.0,21.700000000000003,0.0,359.2,5.1000000000000005
231,0.0,0.0,111.7,0.0,0.0,0.0,200.29999999999998,0.0
232,0.0,0.0,56.9,0.0,0.0,0.0,224.6,0.0
233,0.0,0.0,184.1,0.0,0.0,0.0,88.1,0.0
234,8.5,0.0,116.4,0.0,35.3,0.0,250.8,0.0
235,7.1000000000000005,0.0,116.99999999999999,0.0,20.3,0.0,256.0,0.0
236,0.0,0.0,127.20000000000002,0.0,0.0,0.0,149.0,0.0
237,17.8,0.0,133.6,0.0,35.8,0.0,174.2,0.0
238,0.0,0.0,0.0,0.0,0.0,0.0,237.7,0.0
239,6.1,0.0,206.5,1.6,16.6,0.0,300.09999999999997,5.9
240,0.0,0.0,0.0,0.0,115.3,4.2,199.29999999999998,7.4
241,6.3,0.0,288.0,0.0,0.0,0.0,36.6,0.0
242,1.8,0.0,67.6,0.0,8.1,0.0,172.5,0.0
243,47.900000000000006,0.0,83.69999999999999,0.0,43.0,0.0,92.30000000000001,0.0
244,2.7,0.0,136.9,0.0,1.8,0.0,130.0,0.0
245,19.200000000000003,0.0,46.60000000000001,0.0,108.69999999999999,0.0,117.89999999999999,0.0
246,66.9,0.0,176.1,0.0,7.8,0.0,43.199999999999996,0.0
247,45.3,0.0,141.4,4.0,12.6,0.0,108.89999999999999,3.6
248,45.3,0.0,141.4,4.0,12.6,0.0,108.89999999999999,3.6
249,0.0,0.0,46.9,0.0,24.1,0.0,307.6,23.400000000000002
250,31.700000000000003,0.0,107.30000000000001,0.0,38.0,0.0,155.5,0.0
251,0.0,0.0,0.0,0.0,6.3,0.0,321.7,1.6
252,152.39999999999998,0.0,134.0,0.0,6.0,0.0,13.399999999999999,0.0
253,151.2,0.0,134.0,0.0,10.6,0.0,12.3,0.0
254,0.0,0.0,0.0,0.0,0.0,0.0,283.4,0.0
255,0.0,0.0,0.0,0.0,25.9,0.0,261.3,0.0
256,0.0,0.0,0.0,0.0,25.9,0.0,261.3,0.0
257,32.199999999999996,0.0,240.3,0.0,6.700000000000001,0.0,110.5,0.0
258,15.5,0.0,93.4,0.0,33.0,0.0,212.89999999999998,0.0
259,57.3,0.0,64.19999999999999,0.0,0.0,0.0,0.0,0.0
260,12.7,0.0,122.6,0.0,11.5,0.0,143.0,0.0
261,49.6,4.300000000000001,109.89999999999999,10.8,20.099999999999998,0.8,146.0,0.8
262,1.8,0.0,101.0,0.0,18.8,0.0,288.09999999999997,0.0
263,0.0,0.0,0.0,0.0,55.0,0.0,328.4,0.0
264,0.0,0.0,206.1,0.0,0.0,0.0,138.6,0.0
265,0.0,0.0,195.09999999999997,0.0,0.0,0.0,164.8,0.0
266,0.0,0.0,55.2,0.0,0.0,0.0,259.1,0.0
267,15.3,0.0,232.2,1.8,8.0,0.0,171.4,0.0
268,48.4,1.7999999999999998,31.999999999999996,13.3,92.79999999999998,31.4,57.3,17.3
269,7.2,0.0,281.29999999999995,0.0,0.0,0.0,13.799999999999999,0.0
270,0.0,0.0,118.1,6.9,0.0,0.0,245.6,13.600000000000001
271,13.5,0.0,50.699999999999996,0.0,59.599999999999994,0.0,153.29999999999998,0.0
